name,population,needs_permit,x,y,z,id,edsm_id,primary_economy
1 G. Caeli,6626250,0,80.90625,-83.53125,-30.8125,1,12695,Industrial
1 Hydrae,6028992652,0,60.90625,28.53125,-54.90625,3,15225,Agriculture
1 Kappa Cygni,24980359,0,-117.75,37.78125,11.1875,5,10902,Industrial
1 i Centauri,3462472767,0,38.46875,29.78125,40.46875,4,19210,Agriculture
10 Canum Venaticorum,1549702573,0,-9.375,55.4375,-7,7,13839,Agriculture
10 G. Canis Majoris,63320380,0,96.5625,-38.28125,-80.3125,9,11775,Terraforming
10 Iota Cygni,14288819,0,-116.375,32.03125,12.625,11,18864,Industrial
10 Kappa Pegasi,3158974757,0,-102.40625,-39.75,19.9375,12,1849,Agriculture
10 Tauri,10560361,0,3.25,-29.9375,-34.1875,15,9911,Industrial
10 Theta Piscium,3261035,0,-93.59375,-115.375,0.15625,16,14902,Extraction
101 Tauri,3874607086,0,12.0625,-35.375,-127.78125,18,1222,Industrial
109 Piscium,7886895,0,-51.40625,-69.1875,-62.15625,21,17754,Industrial
109 Virginis,3346239,0,6.0625,106.09375,82.40625,22,5031,Industrial
11 Cephei,1977298,0,-167.3125,43.96875,-57.875,25,2561,Industrial
11 Virginis,390972882,0,56.6875,131.75,8,27,1986,Terraforming
111 Tauri,151113,0,6.0625,-7.90625,-45.875,29,606,Refinery
114 G. Aquilae,342122734,0,-97.0625,-28.28125,79.15625,30,11471,Agriculture
12 G. Canis Minoris,7264845,0,85.90625,30.4375,-148.0625,35,16241,Extraction
12 Lambda Coronae Borealis,7607318,0,-76.15625,103.4375,43.3125,38,9723,Industrial
12 d Bootis,5622165253,0,-19.5,115.8125,33.1875,34,17554,Agriculture
13 Lambda Crateris,12555099,0,107.40625,88.71875,12.125,41,20074,Industrial
13 Orionis,11658089503,0,18.03125,-27,-84.21875,42,3180,Agriculture
13 Trianguli,8184850,0,-48.75,-47.9375,-76.3125,43,12316,Industrial
132 G. Aquarii,12243066,0,-87.03125,-96.40625,43.40625,44,15783,Industrial
14 Eridani,98107,0,15.21875,-86.3125,-68.90625,46,5428,Military
14 Psi Cancri,2666331117,0,35.25,64.3125,-113.21875,50,19225,Industrial
14 Vulpeculae,6649131,0,-140.46875,-10.53125,76.28125,52,11195,Industrial
15 Lambda Aurigae,2204218271,0,-8.5625,1.5,-40.28125,56,12934,Agriculture
15 f Leonis,16991551,0,32,121.59375,-98.75,54,7840,Terraforming
157 G. Aquarii,33527144,0,-44.53125,-64.6875,26.5625,60,4893,Industrial
16 Cygni,6482960270,0,-66.5625,15.53125,7.5,63,19805,Agriculture
16 Eta Sagittae,35858529,0,-137.40625,-18.4375,80.625,64,18173,Industrial
16 Librae,6570620,0,8.28125,62.78125,60.71875,65,3026,Industrial
16 Lyrae,8399181822,0,-113.53125,37.03125,25.53125,66,17943,Agriculture
16 Persei,18453150,0,-61.1875,-38.125,-96.90625,67,3512,Industrial
16 Tau Coronae Borealis,2484188735,0,-65.46875,82.84375,40.53125,69,2105,Agriculture
16 c Ursae Majoris,11364363,0,-21.375,41.84375,-43.21875,61,6118,High Tech
169 G. Canis Majoris,1747191,0,88.125,3,-75.71875,70,1699,Industrial
17 Beta Piscis Austrini,827735,0,-18.65625,-123.59375,69.09375,71,2417,Tourism
17 Crateris,25318661,0,73,44.125,17.625,72,5373,Industrial
17 Cygni,16978550871,0,-64.53125,5,24.59375,73,8254,Agriculture
17 Draconis,26258,0,-305.75,272.21875,49.5,22849,26712,Service
17 Kappa-1 Bootis,8264847,0,-73.28125,132.375,-7.34375,74,9311,Industrial
17 Lyrae,727462478,0,-119.90625,25.375,58.0625,75,4341,Agriculture
171 G. Aquarii,1190515,0,-64.15625,-87.90625,29.53125,78,9527,Industrial
18 Ceti,23763617,0,-22.09375,-97.875,-12.5625,81,7279,Industrial
18 Lambda Piscium,884220012,0,-58.59375,-89.09375,-1.46875,84,6910,Agriculture
18 Puppis,5493236863,0,58.6875,13.9375,-41.125,86,2658,Agriculture
18 Scorpii,5972883351,0,-3.53125,21.65625,39.65625,87,17157,Agriculture
19 Leonis Minoris,5413064897,0,0.3125,72.8125,-55.90625,89,3561,Agriculture
19 Phi-2 Ceti,13454391877,0,-12.3125,-49.21875,-8.28125,90,15154,Agriculture
2 Omega Leonis,31618688,0,60.59375,71.21875,-62.125,94,14058,Industrial
20 Ophiuchi,23460685,0,-14.28125,36.1875,96.75,98,6927,Industrial
21 Draco,4605701088,0,-60.03125,45.65625,8.09375,99,12975,Agriculture
21 Leonis Minoris,4170867,0,9.0625,75.3125,-52.25,103,7508,Industrial
23 Andromedae,2926806750,0,-95.625,-40.9375,-46.3125,107,18215,Agriculture
23 Delta Piscis Austrini,253671,0,-15.96875,-139.78125,63,109,18474,Terraforming
23 h Ursae Majoris,186377,0,-28.1875,52.1875,-50.15625,110,7444,Refinery
234 G. Carinae,4774325401,0,93.71875,-21.96875,41.375,113,17989,Terraforming
24 Iota Crateris,13335441350,0,60,62.65625,8.375,118,1045,Agriculture
241 G. Aquarii,2136040642,0,-41.78125,-73.96875,6.46875,119,12749,Agriculture
25 Nu-2 Draconis,3353961,0,-82.8125,54.125,10.1875,124,12340,Industrial
25 d2 Cancri,11297413,0,59.78125,70.78125,-113.59375,122,14335,Industrial
26 Alpha Monocerotis,28121081,0,108.28125,17.9375,-98.96875,125,1463,Industrial
26 Ophiuchi,1442494359,0,3.875,19.0625,108.1875,128,13861,Agriculture
27 G. Caeli,3994084592,0,75.84375,-62.09375,-33.34375,130,13340,Agriculture
27 Kappa Persei,3556220823,0,-59.40625,-21.4375,-93.40625,131,15006,Industrial
27 b1 Cygni,134067,0,-74.75,2.5,22.5625,129,16153,Refinery
29 Ceti,164386,0,-57.75,-137.28125,-53.125,137,970,Extraction
2MASS J03291977+3124572,10000,0,-379.8125,-382.09375,-954.46875,38832,88491,Extraction
3 Beta Lacertae,175954,0,-166.03125,-12.625,-34.21875,138,16335,Terraforming
3 Corvi,10280143,0,139.875,118.59375,56.3125,139,6006,Industrial
3 Upsilon Ophiuchi,14369982,0,-13.5625,53.875,108.9375,140,17002,Industrial
30 Ceti,14918620,0,-32.09375,-146.125,-35.625,141,1003,High Tech
31 Aquilae,5284166118,0,-36.625,-2.03125,33.25,144,8191,Agriculture
31 Epsilon Librae,44314523,0,9.53125,60.9375,81.0625,149,4318,Industrial
